ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
1,18.485589,77.377999,13.8,-18.9,6.91,9.131932953487157,Pozitivno,Da
2,18.475298,77.401776,7.5,-33.6,7.15,1.99,Negativno,Ne
3,18.487495,77.385356,7.6,-66.3,6.92,5.57,Negativno,Ne
4,18.469916,77.388826,14.8,-39.1,7.07,5.58,Pozitivno,Ne
5,18.467294,77.388556,8.4,-41.2,6.42,5.47,Pozitivno,Ne
6,18.487098,77.383113,3.6,-45.6,7.34,4.95,Negativno,Ne
7,18.474877,77.378434,8.9,-58.9,6.38,1.85,Pozitivno,Ne
8,18.464278,77.391392,0.6,-66.0,6.99,1.41,Negativno,Ne
9,18.473349,77.369957,6.5,-33.9,7.85,5.33,Negativno,Ne
10,18.500773,77.401479,10.6,-36.7,7.41,4.83,Negativno,Ne
11,18.482025,77.384619,0.4,-62.0,7.78,3.44,Negativno,Ne
12,18.488308,77.398339,0.8,-31.6,6.38,5.22,Negativno,Da
13,18.470461,77.386091,11.3,-15.9,7.35,7.350217924749076,Pozitivno,Da
14,18.487311,77.380009,0.6,-22.3,7.13,3.46,Negativno,Ne
15,18.480977,77.384093,0.3,-46.0,7.36,1.35,Pozitivno,Ne
16,18.475434,77.396422,9.8,-46.0,7.09,0.22,Negativno,Ne
17,18.466933,77.382185,6.7,-60.3,6.72,4.39,Negativno,Ne
18,18.469796,77.393861,12.2,-42.4,7.03,5.78,Negativno,Ne
19,18.484028,77.385583,3.0,-44.2,6.91,3.87,Negativno,Ne
20,18.496899,77.395438,9.6,-43.8,7.15,2.99,Negativno,Ne
21,18.485776,77.395819,9.2,-51.1,5.97,0.39,Negativno,Ne
22,18.475091,77.390295,10.4,-32.0,6.55,2.38,Negativno,Ne
23,18.492174,77.395423,1.6,-52.1,6.63,2.55,Negativno,Ne
24,18.469417,77.373687,1.7,-59.1,7.0,5.59,Negativno,Ne
25,18.474424,77.373643,1.3,-66.5,7.11,0.56,Negativno,Ne
26,18.482193,77.394392,13.3,-36.5,7.33,2.68,Negativno,Ne
27,18.482232,77.375447,4.7,-40.8,7.27,4.22,Negativno,Ne
28,18.473451,77.393183,11.4,-69.3,6.79,3.38,Negativno,Ne
29,18.474398,77.378325,10.1,-36.9,6.77,4.66,Pozitivno,Ne
30,18.476626,77.394436,14.8,-31.9,7.15,0.98,Negativno,Ne
31,18.464558,77.405859,5.8,-68.1,6.6,5.08,Negativno,Da
32,18.466934,77.375502,13.1,-46.0,6.69,5.52,Negativno,Ne
33,18.470759,77.395596,8.7,-35.6,6.71,5.75,Negativno,Ne
34,18.476326,77.40318,2.9,-32.4,8.28,2.47,Negativno,Ne
35,18.481072,77.391098,9.9,-60.4,6.72,4.93,Pozitivno,Ne
36,18.470765,77.405094,7.6,-75.1,6.5,5.14,Negativno,Ne
37,18.468526,77.396999,3.1,-73.0,6.73,5.58,Negativno,Ne
38,18.487481,77.39426,9.0,-46.5,6.57,3.42,Negativno,Ne
39,18.487407,77.383055,8.1,-54.7,6.4,1.56,Pozitivno,Ne
40,18.479666,77.381876,8.1,-44.7,7.26,0.85,Negativno,Ne
41,18.48248,77.388631,4.6,-55.1,6.68,2.28,Negativno,Ne
42,18.503576,77.396605,4.9,-55.9,7.02,0.54,Negativno,Ne
43,18.484187,77.387376,1.3,-19.1,7.08,6.379367678412054,Pozitivno,Da
44,18.48473,77.387666,11.8,-19.5,7.0,9.259367678412056,Pozitivno,Da
45,18.488307,77.381362,9.3,-45.5,7.49,2.33,Negativno,Ne
46,18.472448,77.399348,13.0,-58.0,7.58,1.0,Negativno,Ne
47,18.486535,77.39156,14.9,-43.9,7.02,6.0,Negativno,Da
48,18.488176,77.397707,2.8,-41.9,7.32,4.13,Negativno,Ne
49,18.494848,77.393163,0.9,-60.0,6.24,5.43,Negativno,Ne
50,18.485808,77.396831,10.9,-59.4,8.69,1.91,Negativno,Ne
51,18.484142,77.379256,9.7,-14.8,6.84,9.751932953487156,Pozitivno,Da
52,18.490136,77.388024,1.3,-50.6,7.32,0.71,Negativno,Ne
53,18.482645,77.398901,0.8,-52.4,7.22,2.58,Negativno,Ne
54,18.484715,77.392157,3.7,-71.4,7.91,1.93,Negativno,Ne
55,18.497756,77.40636,12.3,-43.4,7.22,1.31,Negativno,Ne
56,18.470811,77.391432,9.2,-62.9,6.37,0.78,Negativno,Ne
57,18.470948,77.400148,8.1,-53.9,7.54,3.01,Negativno,Ne
58,18.471873,77.407539,2.4,-33.9,6.55,5.39,Negativno,Ne
59,18.499496,77.382118,6.1,-34.7,7.09,1.99,Negativno,Ne
60,18.473172,77.404521,13.5,-51.8,7.04,4.32,Negativno,Ne
61,18.484861,77.383508,1.9,-30.3,7.31,3.09,Negativno,Da
62,18.46641,77.385442,1.8,-38.8,7.22,2.67,Negativno,Ne
63,18.479033,77.392733,1.2,-58.2,6.5,5.19,Negativno,Ne
64,18.475975,77.395394,13.2,-68.1,6.74,5.78,Negativno,Ne
65,18.485058,77.387343,14.3,-14.3,7.16,6.409367678412054,Pozitivno,Da
66,18.485667,77.384065,9.5,-45.7,7.21,2.71,Negativno,Ne
67,18.500054,77.376169,3.5,-53.0,7.95,4.96,Negativno,Ne
68,18.481503,77.408451,9.7,-33.3,7.64,5.42,Negativno,Ne
69,18.47572,77.394207,2.1,-55.9,6.69,5.66,Negativno,Ne
70,18.473505,77.375781,6.9,-59.8,7.59,3.13,Negativno,Ne
71,18.48927,77.411754,9.8,-38.1,7.74,5.72,Negativno,Ne
